Genre,log_sales,Year,Platform
Simulation,0.4574248470388754,2006.0,DS
Action,0.6259384308664953,2009.0,PS3
Action,0.5877866649021191,2011.0,PS3
Role-Playing,0.29266961396282,2008.0,PSP
Role-Playing,0.41871033485818504,2009.0,PS3
Action,0.3646431135879093,2012.0,X360
Role-Playing,0.13102826240640408,2000.0,PS
Role-Playing,0.15700374880966478,2003.0,PS2
Action,0.412109650826833,2009.0,X360
Action,0.2468600779315258,1997.0,PS
Role-Playing,0.18232155679395465,2004.0,PS2
Role-Playing,0.4824261492442927,2012.0,PC
Action,0.4574248470388754,2012.0,X360
Action,0.3987761199573678,2007.0,DS
Simulation,0.2468600779315258,2013.0,3DS
Role-Playing,0.3220834991691133,2010.0,X360
Simulation,0.18232155679395465,1996.0,PC
Action,0.5007752879124893,2009.0,PS3
Action,0.3435897043900769,2014.0,XOne
Action,0.7929925155296614,2006.0,PSP
Action,0.5481214085096876,1996.0,PS
Role-Playing,0.3646431135879093,2008.0,X360
Role-Playing,0.31481073984003355,2007.0,DS
Action,0.5766133643039938,2007.0,PS3
Action,0.3784364357202451,2007.0,DS
Role-Playing,0.0,2010.0,PSP
Action,0.48858001481867097,2010.0,PS3
Action,0.3435897043900769,2011.0,X360
Action,0.22314355131420976,2000.0,PS
Simulation,0.31481073984003355,2008.0,Wii
Action,0.5306282510621704,2002.0,PS2
Action,0.2151113796169455,1996.0,PS
Action,0.12221763272424921,2002.0,GC
Action,0.262364264467491,2013.0,3DS
Action,0.598836501088704,2014.0,PS4
Action,0.20701416938432615,2002.0,PS2
Role-Playing,0.019802627296179712,2000.0,PS
Action,0.5538851132264376,2015.0,PS4
Action,0.35767444427181594,2005.0,PS2
Role-Playing,0.33647223662121295,2006.0,X360
Role-Playing,0.15700374880966478,2005.0,PS2
Role-Playing,0.3435897043900769,2008.0,X360
Action,0.4762341789963716,2009.0,PS3
Action,0.5423242908253617,2011.0,PS3
Action,1.0750024230289759,2004.0,PS2
Action,0.262364264467491,2011.0,3DS
Action,0.35767444427181594,2011.0,X360
Action,0.10436001532424277,1997.0,PS
Action,0.5709795465857378,2014.0,PS4
Action,0.33647223662121295,2011.0,Wii
Role-Playing,0.31481073984003355,2015.0,XOne
Role-Playing,0.0,2007.0,PC
Role-Playing,0.2851789422336624,2010.0,X360
Action,0.9820784724121582,2007.0,PS2
Role-Playing,0.4637340162321401,2008.0,PS3
Action,0.5306282510621704,2014.0,PS4
Action,0.5481214085096876,2013.0,PS3
Role-Playing,0.10436001532424277,2014.0,3DS
Role-Playing,0.49469624183610705,2011.0,PC
Role-Playing,0.23901690047049992,2009.0,DS
Simulation,0.23901690047049992,2011.0,3DS
Action,0.4762341789963716,2015.0,PS4
Action,0.3074846997479606,2008.0,X360
Action,0.22314355131420976,1996.0,PS
