Genre,log_sales,Year,Platform
Role-Playing,0.009950330853168083,2010.0,X360
Simulation,0.07696104113612832,1998.0,N64
Simulation,0.0,2001.0,PC
Role-Playing,0.8960880245566356,1996.0,SNES
Simulation,0.0,2004.0,PS2
Role-Playing,0.636576829071551,2003.0,GBA
Action,0.05826890812397577,2016.0,PS4
Action,0.019802627296179712,2010.0,DS
Role-Playing,0.7275486072772778,2006.0,DS
Action,0.7561219797213337,2003.0,PS2
Role-Playing,0.7178397931503169,1998.0,PS
Action,0.039220713153281295,2002.0,XB
Action,0.2546422183735807,2005.0,PS2
Action,0.07696104113612832,2006.0,X360
Action,0.048790164169432,2003.0,PS2
Action,0.009950330853168083,2010.0,X360
Simulation,0.0,2006.0,DS
Action,0.6729444732424258,2010.0,PSP
Role-Playing,0.0,2010.0,PC
Simulation,0.0,2007.0,Wii
Action,0.12221763272424921,2010.0,PS3
Role-Playing,0.5596157879354227,2010.0,PSP
Role-Playing,0.43178241642553783,2011.0,PS3
Simulation,0.019802627296179712,2010.0,PS3
Action,0.039220713153281295,2010.0,X360
Role-Playing,0.5538851132264376,2005.0,GBA
Action,0.039220713153281295,2004.0,GBA
Role-Playing,0.3784364357202451,2013.0,3DS
Role-Playing,0.6043159668533294,2005.0,DS
Role-Playing,0.1397619423751587,2013.0,PS3
Role-Playing,0.4252677354043441,2009.0,DS
Action,0.0,2005.0,PS2
Action,0.0295588022415444,2011.0,PS3
Action,0.0,2008.0,PS3
Action,0.009950330853168083,2013.0,PS3
Role-Playing,0.4252677354043441,2012.0,3DS
Action,0.23901690047049992,1997.0,PS
Action,0.048790164169432,2002.0,GBA
Action,0.019802627296179712,2002.0,PS
Role-Playing,0.07696104113612832,2014.0,PS4
Action,0.412109650826833,2003.0,PS2
Action,0.0,2005.0,XB
Role-Playing,0.0,2004.0,PS2
Action,0.0,2013.0,X360
Action,0.09531017980432487,2014.0,PS3
Action,0.009950330853168083,2013.0,X360
Action,0.3435897043900769,2001.0,GB
Simulation,0.0,2003.0,PC
Action,0.0,2008.0,Wii
Action,0.0,2011.0,Wii
Simulation,0.0295588022415444,2001.0,GC
Role-Playing,0.8458682675776092,2013.0,3DS
Role-Playing,0.0,1999.0,PS
Action,0.7275486072772778,2001.0,PS2
Role-Playing,0.3293037471426004,1999.0,PS
Action,0.0,2009.0,DS
Role-Playing,0.5247285289349821,1999.0,PS
Action,0.12221763272424921,2010.0,Wii
Role-Playing,0.3001045924503381,2004.0,GBA
Action,0.07696104113612832,2011.0,PS3
Role-Playing,0.3001045924503381,2009.0,PS3
Simulation,0.6575200029167941,1998.0,N64
Role-Playing,0.0,2012.0,PC
Action,0.06765864847381481,2015.0,PS4
Simulation,0.41871033485818504,1995.0,PS
Simulation,0.0,2001.0,PC
Role-Playing,0.8544153281560676,2010.0,DS
Action,0.10436001532424277,2014.0,PS4
Simulation,0.0,2003.0,PS2
Action,0.0295588022415444,2010.0,PS3
Action,0.0295588022415444,2012.0,X360
Role-Playing,0.9122827104766162,2006.0,DS
Action,0.0,2001.0,PS
Action,0.019802627296179712,2004.0,PS2
Action,0.05826890812397577,2010.0,PS3
Role-Playing,0.5423242908253617,2012.0,PS3
Action,0.13102826240640408,2013.0,WiiU
Action,0.0,2005.0,PS2
Role-Playing,0.33647223662121295,2001.0,GBA
Action,0.0,2002.0,PS2
Action,0.009950330853168083,2012.0,X360
Action,0.0,2007.0,GBA
Simulation,0.0,2004.0,PS2
Simulation,0.019802627296179712,2001.0,PS2
Role-Playing,0.22314355131420976,2013.0,PS3
Simulation,0.07696104113612832,2009.0,DS
Simulation,0.009950330853168083,2008.0,PS2
Role-Playing,0.37156355643248307,2002.0,PS2
Role-Playing,0.05826890812397577,2014.0,PS4
Action,0.0,1998.0,PS
Action,0.09531017980432487,2001.0,GB
