Genre,log_sales,Year,Platform
Action,0.76080582903376,2015.0,3DS
Action,0.5822156198526637,1997.0,PS
Role-Playing,0.2468600779315258,1995.0,SNES
Action,0.8064758658669484,2013.0,X360
Action,0.6678293725756554,2012.0,PC
Role-Playing,0.6678293725756554,2008.0,DS
Action,0.7323678937132266,2011.0,PS3
Action,0.6471032420585384,1997.0,PC
Action,0.8020015854720274,2013.0,PS3
Action,0.0,2015.0,3DS
Action,0.6981347220709844,2008.0,PS3
Role-Playing,0.7514160886839212,2012.0,3DS
Action,0.8501509293696101,2007.0,Wii
Role-Playing,0.9082585601768908,2004.0,GC
Role-Playing,0.5128236264286639,2009.0,Wii
Action,0.883767540168595,2008.0,DS
Simulation,0.7371640659767197,2009.0,PS2
Action,0.6312717768418579,2003.0,PS2
Action,0.9042181506398859,2013.0,XOne
Action,0.7227059828014898,2006.0,PS2
Action,0.29266961396282,2011.0,PS3
Action,0.7747271675523681,2006.0,X360
Role-Playing,0.9858167945227653,2003.0,XB
Action,0.4637340162321401,2012.0,PS3
Role-Playing,0.0,2000.0,GB
Role-Playing,0.8285518175661483,2006.0,DS
Role-Playing,0.9082585601768908,2003.0,GBA
Role-Playing,0.8197798314933114,2010.0,X360
Simulation,0.9555114450274363,1998.0,N64
Simulation,0.8020015854720274,2001.0,PC
Role-Playing,0.5068176023684519,1996.0,SNES
Simulation,0.712949807856125,2004.0,PS2
Role-Playing,0.598836501088704,2003.0,GBA
Action,0.4637340162321401,2016.0,PS4
Action,0.6575200029167941,2010.0,DS
Role-Playing,0.6471032420585384,2006.0,DS
Action,0.48858001481867097,2003.0,PS2
Role-Playing,0.6626879730752367,1998.0,PS
Action,0.9321640810304452,2002.0,XB
Action,0.688134638736401,2005.0,PS2
Action,0.7701082216960736,2006.0,X360
Action,0.8153648132841945,2003.0,PS2
Action,1.0438040521731147,2010.0,X360
Simulation,0.6523251860396903,2006.0,DS
Action,0.3784364357202451,2010.0,PSP
Role-Playing,1.0188473201992472,2010.0,PC
Simulation,0.8586616190375187,2007.0,Wii
Action,0.4637340162321401,2010.0,PS3
Role-Playing,0.48858001481867097,2010.0,PSP
Role-Playing,0.5596157879354227,2011.0,PS3
Simulation,0.5481214085096876,2010.0,PS3
Action,0.7884573603642702,2010.0,X360
Role-Playing,0.5364933705145685,2005.0,GBA
Action,0.7654678421395714,2004.0,GBA
Role-Playing,0.636576829071551,2013.0,3DS
Role-Playing,0.7701082216960736,2005.0,DS
Role-Playing,0.5364933705145685,2013.0,PS3
Role-Playing,0.7466879474879752,2009.0,DS
Action,0.5364933705145685,2005.0,PS2
Action,0.4574248470388754,2011.0,PS3
Action,0.7178397931503169,2008.0,PS3
Action,0.5709795465857378,2013.0,PS3
Role-Playing,0.636576829071551,2012.0,3DS
Action,0.6678293725756554,1997.0,PS
Action,0.7929925155296614,2002.0,GBA
Action,0.5596157879354227,2002.0,PS
Role-Playing,0.5423242908253617,2014.0,PS4
Action,0.5364933705145685,2003.0,PS2
Action,0.8153648132841945,2005.0,XB
Role-Playing,0.6931471805599453,2004.0,PS2
Action,0.7654678421395714,2013.0,X360
Action,0.44468582126144574,2014.0,PS3
Action,0.6205764877251099,2013.0,X360
Action,0.6523251860396903,2001.0,GB
Simulation,0.708035793053696,2003.0,PC
Action,0.76080582903376,2008.0,Wii
Action,0.7323678937132266,2011.0,Wii
Simulation,0.708035793053696,2001.0,GC
Role-Playing,0.19062035960864973,2013.0,3DS
Role-Playing,0.8628899551470398,1999.0,PS
Action,0.4252677354043441,2001.0,PS2
Role-Playing,0.6626879730752367,1999.0,PS
Action,0.8501509293696101,2009.0,DS
Role-Playing,0.4824261492442927,1999.0,PS
Action,0.6151856390902334,2010.0,Wii
Role-Playing,0.8153648132841945,2004.0,GBA
Action,0.7178397931503169,2011.0,PS3
Role-Playing,0.6780335427498971,2009.0,PS3
Simulation,0.6043159668533294,1998.0,N64
Role-Playing,0.6097655716208943,2012.0,PC
Action,0.3784364357202451,2015.0,PS4
Simulation,0.6523251860396903,1995.0,PS
Simulation,1.0331844833456545,2001.0,PC
Role-Playing,0.1988508587451652,2010.0,DS
Action,0.4382549309311553,2014.0,PS4
Simulation,0.7178397931503169,2003.0,PS2
Action,0.8796267475025635,2010.0,PS3
Action,0.7178397931503169,2012.0,X360
Role-Playing,0.20701416938432615,2006.0,DS
Action,0.7514160886839212,2001.0,PS
Action,0.3293037471426004,2004.0,PS2
Action,0.37156355643248307,2010.0,PS3
Role-Playing,0.3435897043900769,2012.0,PS3
Action,0.6575200029167941,2013.0,WiiU
Action,0.6151856390902334,2005.0,PS2
Role-Playing,0.6575200029167941,2001.0,GBA
Action,0.6205764877251099,2002.0,PS2
Action,0.5187937934151675,2012.0,X360
Action,0.8153648132841945,2007.0,GBA
Simulation,0.41871033485818504,2004.0,PS2
Simulation,0.4762341789963716,2001.0,PS2
Role-Playing,0.6418538861723948,2013.0,PS3
Simulation,0.6043159668533294,2009.0,DS
Simulation,0.6151856390902334,2008.0,PS2
Role-Playing,0.48858001481867097,2002.0,PS2
Role-Playing,0.3987761199573678,2014.0,PS4
Action,0.9082585601768908,1998.0,PS
Action,0.6626879730752367,2001.0,GB
Action,0.7654678421395714,2013.0,Wii
Action,0.7227059828014898,2012.0,X360
Action,0.6151856390902334,2003.0,PS2
Role-Playing,0.5068176023684519,2015.0,PS4
Simulation,0.5306282510621704,2008.0,DS
Role-Playing,0.5877866649021191,2003.0,PS2
Simulation,0.4637340162321401,2010.0,PC
Simulation,0.6312717768418579,2004.0,PS2
Action,0.5247285289349821,2007.0,DS
Action,0.6312717768418579,2008.0,PS3
Action,0.6981347220709844,2013.0,X360
Role-Playing,0.6729444732424258,2009.0,PS3
Action,0.6259384308664953,2001.0,GBA
Role-Playing,0.9242589015233319,2002.0,GBA
Action,0.6830968447064438,2005.0,GC
Action,0.5877866649021191,2012.0,PSV
Action,0.6418538861723948,2012.0,X360
